gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
TTN	ENSG00000155657.26	ENST00000589042.5	226	107976	109224	108201
MUC16	ENSG00000181143.15	ENST00000397910.8	205	43524	43816	43728
OBSCN	ENSG00000154358.20	ENST00000570156.6	75	26772	26925	26846
SYNE1	ENSG00000131018.22	ENST00000367255.9	603	26394	27748	26996
NEB	ENSG00000183091.19	ENST00000618972.4	204	25683	26307	25886
MACF1	ENSG00000127603.25	ENST00000567887.5	158	22779	24319	22936
DST	ENSG00000151914.19	ENST00000361203.7	9	22386	22431	22394
CCDC168	ENSG00000175820.3	ENST00000322527.3	139	21246	21466	21384
SYNE2	ENSG00000054654.16	ENST00000358025.7	213	20724	21842	20936
FSIP2	ENSG00000188738.14	ENST00000424728.5	1	20724	20788	20724
ADGRV1	ENSG00000164199.17	ENST00000405460.8	97	18921	19554	19017
AHNAK	ENSG00000124942.13	ENST00000378024.8	276	17673	18787	17948
AHNAK2	ENSG00000185567.6	ENST00000333244.5	121	17388	18254	17508
MUC5B	ENSG00000117983.17	ENST00000529681.5	59	17289	17911	17347
MUC5AC	ENSG00000215182.8	ENST00000621226.2	48	16965	17448	17012
NBPF20	ENSG00000162825.16	ENST00000369373.9	194	16941	18760	17134
HMCN1	ENSG00000143341.11	ENST00000271588.8	230	16908	18208	17137
MDN1	ENSG00000112159.11	ENST00000369393.7	117	16791	18413	16907
KMT2D	ENSG00000167548.15	ENST00000301067.11	1	16614	19419	16614
MUC12	ENSG00000205277.9	ENST00000379442.7	1	16437	16737	16437
MUC4	ENSG00000145113.21	ENST00000463781.7	461	16239	17110	16699
C2orf16	ENSG00000221843.4	ENST00000447166.2	42	16167	16401	16208
RNF213	ENSG00000173821.19	ENST00000508628.6	146	15771	17730	15916
USH2A	ENSG00000042781.12	ENST00000307340.7	388	15609	18883	15996
UBR4	ENSG00000127481.14	ENST00000375254.7	29	15552	15906	15580
SSPO	ENSG00000197558.11	ENST00000378016.4	1	15453	15589	15453
PCLO	ENSG00000186472.19	ENST00000333891.13	339	15429	20329	15767
HYDIN	ENSG00000157423.17	ENST00000393567.6	152	15366	15719	15517
EPPK1	ENSG00000261150.2	ENST00000615648.1	73	15267	16002	15339
HMCN2	ENSG00000148357.16	ENST00000624552.3	1	15180	15610	15180
ABCA13	ENSG00000179869.14	ENST00000435803.5	25	15177	17184	15201
RYR1	ENSG00000196218.12	ENST00000359596.7	1	15117	15117	15117
KIAA1109	ENSG00000138688.15	ENST00000264501.8	374	15018	15896	15391
FAT4	ENSG00000196159.11	ENST00000394329.7	14	14946	16123	14959
RYR2	ENSG00000198626.15	ENST00000366574.6	318	14904	16562	15221
KMT2C	ENSG00000055609.17	ENST00000262189.10	220	14736	16862	14955
RYR3	ENSG00000198838.13	ENST00000622037.1	71	14622	15564	14692
HERC1	ENSG00000103657.13	ENST00000443617.6	89	14586	15137	14674
BIRC6	ENSG00000115760.14	ENST00000421745.6	135	14574	15703	14708
HERC2	ENSG00000128731.16	ENST00000261609.11	110	14505	15337	14614
DNHD1	ENSG00000179532.12	ENST00000254579.10	565	14262	14862	14826
DNAH8	ENSG00000124721.17	ENST00000327475.10	110	14124	14360	14233
STARD9	ENSG00000159433.11	ENST00000290607.11	58	14103	15567	14160
PLEC	ENSG00000178209.15	ENST00000322810.8	171	14055	15249	14225
LRP2	ENSG00000081479.13	ENST00000263816.7	287	13968	15808	14254
DYNC1H1	ENSG00000197102.11	ENST00000360184.9	183	13941	20003	14123
MYCBP2	ENSG00000005810.17	ENST00000357337.10	94	13923	14736	14016
DNAH5	ENSG00000039139.9	ENST00000265104.4	106	13875	15633	13980
LRP1B	ENSG00000168702.17	ENST00000389484.7	973	13800	16535	14772
FAT1	ENSG00000083857.13	ENST00000614102.4	189	13773	14758	13961
SACS	ENSG00000151835.15	ENST00000382292.8	616	13740	15665	14355
APOB	ENSG00000084674.14	ENST00000233242.5	129	13692	14121	13820
FAT3	ENSG00000165323.15	ENST00000409404.6	18	13674	19030	13691
LRP1	ENSG00000123384.13	ENST00000243077.7	467	13635	14897	14101
DNAH10	ENSG00000197653.15	ENST00000409039.7	150	13599	14473	13748
DNAH11	ENSG00000105877.17	ENST00000328843.10	32	13572	13917	13603
DNAH14	ENSG00000185842.15	ENST00000430092.5	216	13548	13763	13763
MUC17	ENSG00000169876.13	ENST00000306151.8	65	13482	14247	13546
TNXB	ENSG00000168477.19	ENST00000647633.1	161	13476	13831	13636
DNAH9	ENSG00000007174.17	ENST00000262442.8	69	13461	13750	13529
DNAH17	ENSG00000187775.16	ENST00000389840.6	126	13389	13723	13514
DNAH2	ENSG00000183914.14	ENST00000572933.5	1461	13284	14955	14744
HECTD4	ENSG00000173064.12	ENST00000377560.9	312	13251	15759	13562
HSPG2	ENSG00000142798.19	ENST00000374695.7	81	13176	14327	13256
VPS13D	ENSG00000048707.15	ENST00000620676.6	168	13167	16357	13334
ANK3	ENSG00000151150.21	ENST00000280772.6	193	13134	16874	13326
HUWE1	ENSG00000086758.15	ENST00000262854.10	404	13125	14739	13528
FAT2	ENSG00000086570.12	ENST00000261800.5	14	13050	14534	13063
UNC13B	ENSG00000198722.14	ENST00000635942.1	223	13023	14550	13245
DYNC2H1	ENSG00000187240.14	ENST00000650373.1	14	12945	13330	12958
PKD1	ENSG00000008710.19	ENST00000262304.8	210	12912	14138	13121
DNAH1	ENSG00000114841.17	ENST00000420323.6	262	12798	13104	13059
PKHD1L1	ENSG00000205038.11	ENST00000378402.9	105	12732	13076	12836
ALMS1	ENSG00000116127.17	ENST00000613296.4	112	12507	12925	12618
DNAH6	ENSG00000115423.18	ENST00000389394.7	138	12477	12795	12614
PRKDC	ENSG00000253729.7	ENST00000314191.6	58	12387	13509	12444
DNAH3	ENSG00000158486.13	ENST00000261383.3	1	12351	12394	12351
PKHD1	ENSG00000170927.14	ENST00000371117.7	277	12225	16282	12501
CMYA5	ENSG00000164309.14	ENST00000446378.2	32	12210	12847	12241
FLG	ENSG00000143631.10	ENST00000368799.1	37	12186	12747	12222
DNAH7	ENSG00000118997.13	ENST00000312428.10	102	12075	12394	12176
VPS13B	ENSG00000132549.18	ENST00000358544.6	112	12069	14094	12180
FRAS1	ENSG00000138759.18	ENST00000512123.3	441	12039	15624	12479
KMT2A	ENSG00000118058.21	ENST00000534358.6	50	11919	16628	11968
DNAH12	ENSG00000174844.14	ENST00000495027.5	182	11883	12146	12064
ANK2	ENSG00000145362.17	ENST00000357077.8	54	11874	14196	11927
ZNF469	ENSG00000225614.2	ENST00000565624.1	1	11862	13279	11862
BSN	ENSG00000164061.4	ENST00000296452.4	115	11781	15955	11895
AKAP9	ENSG00000127914.16	ENST00000359028.6	1	11733	12247	11733
TRRAP	ENSG00000196367.13	ENST00000359863.8	210	11580	12677	11789
NBPF19	ENSG00000271383.6	ENST00000621744.4	1271	11532	14425	12802
LYST	ENSG00000143669.13	ENST00000389793.6	176	11406	13480	11581
NBPF10	ENSG00000271425.7	ENST00000583866.8	36	11388	13042	11423
VPS13C	ENSG00000129003.17	ENST00000261517.9	75	11262	13400	11336
IGFN1	ENSG00000163395.16	ENST00000335211.8	131	11127	11810	11257
CSMD3	ENSG00000164796.17	ENST00000297405.9	246	11124	13212	11369
ZFHX3	ENSG00000140836.16	ENST00000641206.2	1829	11112	17219	12940
LAMA5	ENSG00000130702.15	ENST00000252999.7	68	11088	11426	11155
DMD	ENSG00000198947.15	ENST00000357033.8	208	11058	13956	11265
SPTBN5	ENSG00000137877.9	ENST00000320955.7	229	11025	11725	11253
SPEN	ENSG00000065526.10	ENST00000375759.7	205	10995	12232	11199
SMG1	ENSG00000157106.16	ENST00000446231.6	414	10986	16115	11399
CSMD2	ENSG00000121904.17	ENST00000373381.8	178	10896	13698	11073
CUBN	ENSG00000107611.15	ENST00000377833.9	53	10872	11933	10924
ZFHX4	ENSG00000091656.16	ENST00000521891.6	449	10851	14019	11299
SVEP1	ENSG00000165124.17	ENST00000401783.6	338	10725	12350	11062
CSMD1	ENSG00000183117.18	ENST00000520002.5	557	10698	11740	11254
XIRP2	ENSG00000163092.19	ENST00000409195.5	90	10650	12675	10739
USP34	ENSG00000115464.14	ENST00000398571.6	78	10641	11357	10718
MYO15A	ENSG00000091536.17	ENST00000205890.10	339	10593	11867	10931
WDFY3	ENSG00000163625.15	ENST00000295888.8	409	10581	14247	10989
ASPM	ENSG00000066279.17	ENST00000367409.8	258	10434	10887	10691
RELN	ENSG00000189056.13	ENST00000424685.2	161	10383	11571	10543
UTRN	ENSG00000152818.18	ENST00000367545.7	1	10302	12339	10302
SZT2	ENSG00000198198.16	ENST00000634258.2	75	10299	11045	10373
BRCA2	ENSG00000139618.14	ENST00000544455.5	228	10257	10984	10484
VCAN	ENSG00000038427.15	ENST00000265077.7	566	10191	12625	10756
DCHS2	ENSG00000197410.13	ENST00000357232.9	4216	10116	17125	14331
CDH23	ENSG00000107736.20	ENST00000224721.11	391	10065	11124	10455
PCNT	ENSG00000160299.16	ENST00000359568.9	108	10011	10560	10118
LAMA3	ENSG00000053747.16	ENST00000313654.13	242	10002	10661	10243
MUC3A	ENSG00000169894.17	ENST00000379458.8	71	9972	11226	10042
CELSR3	ENSG00000008300.16	ENST00000164024.4	282	9939	11956	10220
DCHS1	ENSG00000166341.7	ENST00000299441.4	413	9897	10765	10309
GOLGB1	ENSG00000173230.15	ENST00000393667.7	112	9810	11198	9921
SPEG	ENSG00000072195.14	ENST00000312358.11	133	9804	10782	9936
AC099489.1	ENSG00000188897.9	ENST00000598234.6	71	9801	10590	9871
UNC80	ENSG00000144406.18	ENST00000439458.5	81	9777	13562	9857
MKI67	ENSG00000148773.13	ENST00000368654.7	377	9771	12678	10147
SRCAP	ENSG00000080603.16	ENST00000262518.8	386	9693	11754	10078
RANBP2	ENSG00000153201.15	ENST00000283195.10	127	9675	11711	9801
CPLANE1	ENSG00000197603.13	ENST00000425232.6	232	9594	11199	9825
CFAP47	ENSG00000165164.13	ENST00000378653.7	67	9564	9943	9630
WDFY4	ENSG00000128815.19	ENST00000325239.11	144	9555	10079	9698
COL6A3	ENSG00000163359.15	ENST00000295550.8	454	9534	10749	9987
TEX15	ENSG00000133863.8	ENST00000638951.1	69	9531	11341	9599
VPS13A	ENSG00000197969.12	ENST00000360280.7	261	9525	15320	9785
FREM2	ENSG00000150893.10	ENST00000280481.8	217	9510	16070	9726
EYS	ENSG00000188107.14	ENST00000370621.7	528	9498	10485	10025
HTT	ENSG00000197386.12	ENST00000355072.10	146	9429	13475	9574
REV3L	ENSG00000009413.15	ENST00000358835.7	459	9393	10815	9851
EP400	ENSG00000183495.13	ENST00000389561.6	153	9372	12317	9524
LAMA2	ENSG00000196569.12	ENST00000421865.2	50	9369	9640	9418
CEP350	ENSG00000135837.15	ENST00000367607.7	419	9354	13491	9772
CENPF	ENSG00000117724.12	ENST00000366955.7	169	9345	10307	9513
TRIO	ENSG00000038382.19	ENST00000344204.8	25	9294	11100	9318
CFAP54	ENSG00000188596.10	ENST00000524981.8	24	9291	9766	9314
PRUNE2	ENSG00000106772.17	ENST00000376718.7	125	9267	12584	9391
ADGRG4	ENSG00000156920.10	ENST00000394143.5	292	9243	9931	9534
LAMA1	ENSG00000101680.14	ENST00000389658.3	95	9228	9657	9322
MGA	ENSG00000174197.16	ENST00000219905.11	182	9198	12042	9379
MYO15B	ENSG00000266714.8	ENST00000610510.4	1	9195	9195	9195
COL12A1	ENSG00000111799.20	ENST00000322507.12	311	9192	11723	9502
FRY	ENSG00000073910.21	ENST00000647500.1	152	9177	12973	9328
ATM	ENSG00000149311.18	ENST00000452508.6	190	9171	12954	9360
BOD1L1	ENSG00000038219.12	ENST00000040738.9	137	9156	10565	9292
DMXL1	ENSG00000172869.14	ENST00000539542.5	182	9147	11236	9328
BPTF	ENSG00000171634.17	ENST00000321892.8	62	9141	11292	9202
MAP1A	ENSG00000166963.12	ENST00000382031.5	32	9126	10553	9157
DMXL2	ENSG00000104093.13	ENST00000543779.6	91	9114	10400	9204
CELSR1	ENSG00000075275.16	ENST00000262738.7	1	9045	11389	9045
FRYL	ENSG00000075539.14	ENST00000358350.8	606	9042	11706	9647
CHD7	ENSG00000171316.11	ENST00000423902.6	480	8994	11568	9473
NBPF14	ENSG00000270629.5	ENST00000619423.4	193	8967	10779	9159
KALRN	ENSG00000160145.15	ENST00000360013.7	128	8961	10806	9088
CRYBG3	ENSG00000080200.9	ENST00000389622.6	168	8913	10729	9080
ASH1L	ENSG00000116539.12	ENST00000368346.7	641	8910	11942	9550
TRANK1	ENSG00000168016.14	ENST00000645898.1	290	8910	10648	9199
TNRC18	ENSG00000182095.14	ENST00000399537.8	350	8907	10572	9256
ZZEF1	ENSG00000074755.14	ENST00000381638.6	126	8886	11456	9011
TACC2	ENSG00000138162.18	ENST00000369005.5	341	8847	9673	9187
NBEA	ENSG00000172915.18	ENST00000310336.8	207	8844	10794	9050
COL7A1	ENSG00000114270.17	ENST00000328333.12	109	8835	9276	8943
OTOG	ENSG00000188162.10	ENST00000399391.6	1	8778	8778	8778
CELSR2	ENSG00000143126.7	ENST00000271332.3	62	8772	10534	8833
FBN2	ENSG00000138829.11	ENST00000508053.5	976	8739	11132	9714
WDR87	ENSG00000171804.10	ENST00000447313.6	162	8739	9009	8900
CHD9	ENSG00000177200.17	ENST00000447540.5	210	8694	11509	8903
FBN1	ENSG00000166147.13	ENST00000316623.9	457	8616	11756	9072
DSP	ENSG00000096696.13	ENST00000379802.7	342	8616	9796	8957
LRBA	ENSG00000198589.11	ENST00000357115.8	475	8592	10129	9066
HRNR	ENSG00000197915.5	ENST00000368801.2	77	8553	9623	8629
PKD1L1	ENSG00000158683.8	ENST00000289672.6	52	8550	9092	8601
MEGF8	ENSG00000105429.12	ENST00000251268.10	1	8538	9549	8538
APC	ENSG00000134982.16	ENST00000508376.6	158	8532	10619	8689
NF1	ENSG00000196712.17	ENST00000358273.8	384	8520	12425	8903
PDZD2	ENSG00000133401.15	ENST00000438447.1	389	8520	11704	8908
WNK1	ENSG00000060237.16	ENST00000530271.6	644	8502	11804	9145
MXRA5	ENSG00000101825.7	ENST00000217939.6	156	8487	9793	8642
PRRC2C	ENSG00000117523.16	ENST00000367742.7	243	8460	10366	8702
AKAP13	ENSG00000170776.21	ENST00000361243.6	82	8454	9468	8535
VWF	ENSG00000110799.13	ENST00000261405.9	256	8442	8838	8697
ZAN	ENSG00000146839.18	ENST00000613979.4	166	8439	8669	8604
FBN3	ENSG00000142449.12	ENST00000600128.5	416	8430	9362	8845
NIPBL	ENSG00000164190.17	ENST00000282516.12	500	8415	10435	8914
UBR5	ENSG00000104517.12	ENST00000520539.5	608	8400	10297	9007
UTP20	ENSG00000120800.4	ENST00000261637.4	175	8358	9025	8532
PIEZO2	ENSG00000154864.12	ENST00000580640.5	1	8334	8334	8334
TENM2	ENSG00000145934.16	ENST00000518659.5	40	8325	8550	8364
TENM4	ENSG00000149256.15	ENST00000278550.11	464	8310	14000	8773
TG	ENSG00000042832.11	ENST00000220616.8	41	8307	8450	8347
ITPR1	ENSG00000150995.19	ENST00000649015.1	116	8277	9589	8392
NBEAL2	ENSG00000160796.16	ENST00000450053.7	180	8265	8827	8444
MGAM	ENSG00000257335.8	ENST00000475668.6	55	8262	9172	8316
SRRM2	ENSG00000167978.16	ENST00000301740.12	550	8259	9353	8808
TENM1	ENSG00000009694.13	ENST00000422452.2	65	8199	12891	8263
FLNC	ENSG00000128591.15	ENST00000325888.12	262	8178	9188	8439
POLQ	ENSG00000051341.13	ENST00000621776.4	1	8178	9055	8178
ZNF292	ENSG00000188994.12	ENST00000369577.7	44	8172	10610	8215
