gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
TSPAN6	ENSG00000000003.14	ENST00000373020.8	113	738	2206	850
TNMD	ENSG00000000005.5	ENST00000373031.4	218	954	1339	1171
DPM1	ENSG00000000419.12	ENST00000371582.8	33	864	1161	896
SCYL3	ENSG00000000457.13	ENST00000367772.8	223	2229	3090	2451
C1orf112	ENSG00000000460.16	ENST00000286031.10	701	2562	4355	3262
FGR	ENSG00000000938.12	ENST00000374005.7	290	1590	2729	1879
CFH	ENSG00000000971.15	ENST00000367429.8	241	3696	4127	3936
FUCA2	ENSG00000001036.13	ENST00000002165.10	57	1404	2356	1460
GCLC	ENSG00000001084.12	ENST00000229416.10	485	1914	3813	2398
NFYA	ENSG00000001167.14	ENST00000341376.10	202	1044	3811	1245
STPG1	ENSG00000001460.17	ENST00000374409.5	256	1005	2804	1260
NIPAL3	ENSG00000001461.16	ENST00000374399.8	369	1221	1711	1589
LAS1L	ENSG00000001497.16	ENST00000374811.7	42	2205	2439	2246
ENPP4	ENSG00000001561.6	ENST00000321037.4	231	1362	4651	1592
SEMA3F	ENSG00000001617.11	ENST00000002829.7	485	2358	3802	2842
CFTR	ENSG00000001626.15	ENST00000003084.10	133	4443	6132	4575
ANKIB1	ENSG00000001629.9	ENST00000265742.7	377	3270	6081	3646
CYP51A1	ENSG00000001630.16	ENST00000003100.12	167	1530	3210	1696
KRIT1	ENSG00000001631.15	ENST00000394507.5	785	2211	4762	2995
RAD52	ENSG00000002016.17	ENST00000358495.7	140	1257	2710	1396
BAD	ENSG00000002330.13	ENST00000394532.7	272	507	1157	778
LAP3	ENSG00000002549.12	ENST00000226299.8	275	1560	2213	1834
CD99	ENSG00000002586.19	ENST00000381192.9	229	558	2582	786
HS3ST1	ENSG00000002587.9	ENST00000002596.5	1176	924	8031	2099
AOC1	ENSG00000002726.20	ENST00000416793.6	61	2313	2453	2373
WNT16	ENSG00000002745.12	ENST00000222462.2	291	1098	3147	1388
HECW1	ENSG00000002746.14	ENST00000395891.6	606	4821	9501	5426
MAD1L1	ENSG00000002822.15	ENST00000406869.5	559	2157	2991	2715
LASP1	ENSG00000002834.17	ENST00000318008.10	332	786	4109	1117
SNX11	ENSG00000002919.14	ENST00000393405.6	355	813	2733	1167
TMEM176A	ENSG00000002933.8	ENST00000484928.5	582	708	1530	1289
M6PR	ENSG00000003056.7	ENST00000000412.7	470	834	2756	1303
KLHL13	ENSG00000003096.14	ENST00000469946.5	41	1977	2353	2017
CYP26B1	ENSG00000003137.8	ENST00000001146.6	205	1539	4732	1743
ICA1	ENSG00000003147.18	ENST00000402384.7	268	1452	2458	1719
DBNDD1	ENSG00000003249.13	ENST00000568838.1	11	837	993	847
ALS2	ENSG00000003393.14	ENST00000264276.10	374	4974	6644	5347
CASP10	ENSG00000003400.14	ENST00000286186.10	436	1569	5928	2004
CFLAR	ENSG00000003402.19	ENST00000309955.7	516	1443	14672	1958
TFPI	ENSG00000003436.15	ENST00000233156.8	296	915	3885	1210
NDUFAF7	ENSG00000003509.15	ENST00000002125.8	41	1326	2176	1366
RBM5	ENSG00000003756.16	ENST00000347869.7	176	2448	3188	2623
MTMR7	ENSG00000003987.13	ENST00000180173.9	36	1983	3850	2018
SLC7A2	ENSG00000003989.17	ENST00000004531.14	49	2097	7560	2145
ARF5	ENSG00000004059.10	ENST00000000233.9	155	543	1103	697
SARM1	ENSG00000004139.13	ENST00000585482.5	372	2175	10309	2546
POLDIP2	ENSG00000004142.11	ENST00000540200.5	75	1107	2121	1181
PLXND1	ENSG00000004399.12	ENST00000324093.8	180	5778	7094	5957
AK2	ENSG00000004455.16	ENST00000354858.10	165	720	1021	884
CD38	ENSG00000004468.12	ENST00000226279.7	138	903	5668	1040
FKBP4	ENSG00000004478.7	ENST00000001008.5	188	1380	3732	1567
KDM1A	ENSG00000004487.16	ENST00000400181.8	105	2631	3059	2735
RBM6	ENSG00000004534.14	ENST00000266022.8	260	3372	3750	3631
CAMKK1	ENSG00000004660.14	ENST00000158166.5	150	1563	2459	1712
RECQL	ENSG00000004700.15	ENST00000444129.6	470	1950	3702	2419
VPS50	ENSG00000004766.16	ENST00000305866.9	129	2895	3613	3023
HSPB6	ENSG00000004776.12	ENST00000004982.5	22	483	1457	504
ARHGAP33	ENSG00000004777.18	ENST00000314737.9	85	3381	3858	3465
NDUFAB1	ENSG00000004779.9	ENST00000570319.5	2	471	885	472
PDK4	ENSG00000004799.7	ENST00000005178.5	199	1236	3576	1434
SLC22A16	ENSG00000004809.13	ENST00000368919.7	68	1734	1987	1801
ZMYND10	ENSG00000004838.13	ENST00000231749.7	1274	1323	2896	2596
ABCB5	ENSG00000004846.16	ENST00000404938.6	653	3774	5811	4426
ARX	ENSG00000004848.7	ENST00000379044.4	212	1689	2876	1900
SLC25A13	ENSG00000004864.13	ENST00000416240.6	192	2031	3192	2222
ST7	ENSG00000004866.20	ENST00000265437.9	215	1758	2899	1972
CDC27	ENSG00000004897.11	ENST00000531206.5	5	2493	3177	2497
SLC4A1	ENSG00000004939.14	ENST00000262418.11	150	2736	4958	2885
CALCR	ENSG00000004948.14	ENST00000359558.6	301	1527	3696	1827
HCCS	ENSG00000004961.14	ENST00000321143.8	203	807	2277	1009
DVL2	ENSG00000004975.11	ENST00000005340.9	284	2211	3018	2494
PRSS22	ENSG00000005001.9	ENST00000161006.7	67	954	1386	1020
UPF1	ENSG00000005007.12	ENST00000599848.5	210	3390	5311	3599
SKAP2	ENSG00000005020.12	ENST00000345317.6	315	1080	3998	1394
SLC25A5	ENSG00000005022.5	ENST00000317881.8	117	897	1274	1013
MCUB	ENSG00000005059.15	ENST00000394650.6	134	1011	2278	1144
HOXA11	ENSG00000005073.5	ENST00000006015.3	73	942	2295	1014
POLR2J	ENSG00000005075.15	ENST00000292614.9	48	354	932	401
DHX33	ENSG00000005100.12	ENST00000225296.7	202	2124	5618	2325
MEOX1	ENSG00000005102.12	ENST00000318579.8	421	765	2707	1185
THSD7A	ENSG00000005108.15	ENST00000423059.8	253	4974	10663	5226
LIG3	ENSG00000005156.11	ENST00000378526.8	134	3030	8400	3163
RPAP3	ENSG00000005175.9	ENST00000005386.7	117	1998	4370	2114
ACSM3	ENSG00000005187.11	ENST00000289416.9	476	1761	2845	2236
REXO5	ENSG00000005189.19	ENST00000261377.10	210	2325	2722	2534
CIAPIN1	ENSG00000005194.14	ENST00000394391.8	243	939	2182	1181
SPPL2B	ENSG00000005206.16	ENST00000613503.4	81	1779	3456	1859
FAM214B	ENSG00000005238.19	ENST00000378561.5	3057	1617	5771	4673
COPZ2	ENSG00000005243.9	ENST00000621465.4	6	633	895	638
PRKAR2B	ENSG00000005249.12	ENST00000265717.4	260	1257	3745	1516
MSL3	ENSG00000005302.18	ENST00000312196.9	106	1566	2364	1671
CREBBP	ENSG00000005339.14	ENST00000262367.9	811	7329	10803	8139
TSPOAP1	ENSG00000005379.16	ENST00000343736.8	165	5574	5947	5738
MPO	ENSG00000005381.7	ENST00000225275.3	178	2238	3215	2415
PON1	ENSG00000005421.8	ENST00000222381.7	233	1068	2568	1300
GCFC2	ENSG00000005436.13	ENST00000321027.7	135	2346	4440	2480
WDR54	ENSG00000005448.16	ENST00000348227.4	89	1005	1147	1093
CROT	ENSG00000005469.11	ENST00000419147.6	200	1923	2959	2122
ABCB4	ENSG00000005471.17	ENST00000265723.8	113	3861	4020	3973
KMT2E	ENSG00000005483.20	ENST00000311117.7	546	5577	6874	6122
RHBDD2	ENSG00000005486.16	ENST00000006777.10	136	1095	1802	1230
SOX8	ENSG00000005513.9	ENST00000293894.3	116	1341	3049	1456
IBTK	ENSG00000005700.14	ENST00000306270.11	551	4062	6054	4612
ZNF195	ENSG00000005801.17	ENST00000399602.8	128	1890	2369	2017
FBXL3	ENSG00000005812.10	ENST00000355619.9	326	1287	3503	1612
ITGAL	ENSG00000005844.17	ENST00000356798.10	181	3513	5213	3693
PDK2	ENSG00000005882.11	ENST00000503176.5	162	1224	3440	1385
ITGA3	ENSG00000005884.17	ENST00000320031.12	331	3156	4888	3486
ZFX	ENSG00000005889.15	ENST00000379188.7	100	2535	7513	2634
LAMP2	ENSG00000005893.15	ENST00000434600.6	197	1236	2089	1432
ITGA2B	ENSG00000005961.18	ENST00000262407.5	33	3120	3333	3152
ASB4	ENSG00000005981.12	ENST00000325885.5	72	1281	3825	1352
GDE1	ENSG00000006007.11	ENST00000353258.7	182	996	2958	1177
REX1BD	ENSG00000006015.17	ENST00000358607.10	78	606	839	683
CRLF1	ENSG00000006016.10	ENST00000392386.7	195	1269	1792	1463
OSBPL7	ENSG00000006025.11	ENST00000007414.7	193	2529	3640	2721
TMEM98	ENSG00000006042.11	ENST00000579849.5	432	681	4434	1112
YBX2	ENSG00000006047.12	ENST00000007699.9	65	1095	1590	1159
KRT33A	ENSG00000006059.3	ENST00000007735.3	46	1215	1287	1260
MAP3K14	ENSG00000006062.15	ENST00000376926.8	232	2844	4583	3075
ABCC8	ENSG00000006071.13	ENST00000302539.9	70	4749	4924	4818
CACNG3	ENSG00000006116.3	ENST00000005284.3	1203	948	3088	2150
TMEM132A	ENSG00000006118.14	ENST00000005286.8	154	3075	3480	3228
AP2B1	ENSG00000006125.17	ENST00000618940.4	173	2856	3415	3028
TAC1	ENSG00000006128.11	ENST00000319273.9	298	390	1239	687
ZNF263	ENSG00000006194.9	ENST00000219069.5	877	2052	3830	2928
CX3CL1	ENSG00000006210.6	ENST00000006053.6	112	1194	3321	1305
SPATA20	ENSG00000006282.20	ENST00000006658.10	121	2409	2719	2529
CACNA1G	ENSG00000006283.17	ENST00000359106.9	1	7134	7648	7134
TNFRSF12A	ENSG00000006327.13	ENST00000326577.8	87	390	1033	476
DLX6	ENSG00000006377.10	ENST00000518156.2	431	882	2304	1312
MAP3K9	ENSG00000006432.15	ENST00000555993.6	364	3357	4449	3720
RALA	ENSG00000006451.7	ENST00000005257.6	381	621	2880	1001
BAIAP2L1	ENSG00000006453.13	ENST00000005260.8	217	1536	3622	1752
KDM7A	ENSG00000006459.10	ENST00000397560.6	99	2826	9272	2924
ETV1	ENSG00000006468.13	ENST00000430479.5	669	1434	6740	2102
AGK	ENSG00000006530.16	ENST00000355413.8	261	1269	3849	1529
ALDH3B1	ENSG00000006534.15	ENST00000342456.10	43	1407	2786	1449
TTC22	ENSG00000006555.10	ENST00000371276.8	105	1710	3345	1814
PHTF2	ENSG00000006576.16	ENST00000422959.6	203	2256	3525	2458
CCL26	ENSG00000006606.8	ENST00000394905.2	259	285	703	543
FARP2	ENSG00000006607.13	ENST00000264042.7	171	3165	4051	3335
USH1C	ENSG00000006611.15	ENST00000005226.11	1	2700	2700	2700
