gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
Ttn	ENSMUSG00000051747.16	ENSMUST00000099981.10	132	106173	107355	106304
Obscn	ENSMUSG00000061462.19	ENSMUST00000238536.2	1	26661	26737	26661
Syne1	ENSMUSG00000096054.4	ENSMUST00000215295.2	419	26400	27908	26818
Muc16	ENSMUSG00000109564.2	ENSMUST00000208663.2	1	25437	25437	25437
ENSMUSG00000121514	ENSMUSG00000121514.1	ENSMUST00000249136.1	1	25014	25014	25014
ENSMUSG00000121515	ENSMUSG00000121515.1	ENSMUST00000249137.1	1	23865	23865	23865
Dst	ENSMUSG00000026131.22	ENSMUST00000183034.5	48	23154	23201	23201
ENSMUSG00000121520	ENSMUSG00000121520.1	ENSMUST00000249145.1	1	22746	22746	22746
ENSMUSG00000121521	ENSMUSG00000121521.1	ENSMUST00000249146.1	1	22746	22746	22746
ENSMUSG00000121528	ENSMUSG00000121528.1	ENSMUST00000249153.1	1	22746	22746	22746
ENSMUSG00000121529	ENSMUSG00000121529.1	ENSMUST00000249154.1	1	22746	22746	22746
Muc19	ENSMUSG00000118670.1	ENSMUST00000239545.1	42	22575	22800	22616
Neb	ENSMUSG00000026950.19	ENSMUST00000238749.2	194	22572	23361	22765
Macf1	ENSMUSG00000028649.23	ENSMUST00000106224.9	172	22068	23408	22239
Fsip2	ENSMUSG00000075249.13	ENSMUST00000143764.9	69	20988	21116	21056
Syne2	ENSMUSG00000063450.15	ENSMUST00000044217.16	210	20625	21690	20834
ENSMUSG00000121519	ENSMUSG00000121519.1	ENSMUST00000249144.1	1	20067	20067	20067
ENSMUSG00000121523	ENSMUSG00000121523.1	ENSMUST00000249148.1	1	20067	20067	20067
ENSMUSG00000121525	ENSMUSG00000121525.1	ENSMUST00000249150.1	1	20067	20067	20067
ENSMUSG00000121527	ENSMUSG00000121527.1	ENSMUST00000249152.1	1	20067	20067	20067
Gm8251	ENSMUSG00000091844.3	ENSMUST00000238662.2	184	19773	20036	19956
Adgrv1	ENSMUSG00000069170.15	ENSMUST00000095585.11	127	18897	19338	19023
Gm11639	ENSMUSG00000040838.11	ENSMUST00000212287.2	239	17427	17665	17665
Ahnak	ENSMUSG00000069833.14	ENSMUST00000092956.4	258	16971	18100	17228
Hmcn1	ENSMUSG00000066842.19	ENSMUST00000074783.12	1	16905	17908	16905
Mdn1	ENSMUSG00000058006.13	ENSMUST00000071642.11	133	16770	17970	16902
Kmt2d	ENSMUSG00000048154.18	ENSMUST00000023741.16	229	16767	19823	16995
Zan	ENSMUSG00000079173.12	ENSMUST00000117564.8	174	16263	16481	16436
ENSMUSG00000121543	ENSMUSG00000121543.1	ENSMUST00000249191.1	1	16236	16236	16236
Ush2a	ENSMUSG00000026609.16	ENSMUST00000060479.14	1	15582	15695	15582
Ubr4	ENSMUSG00000066036.15	ENSMUST00000097822.10	29	15543	15928	15571
Hydin	ENSMUSG00000059854.9	ENSMUST00000043141.7	123	15465	15783	15587
Rnf213	ENSMUSG00000070327.15	ENSMUST00000093902.12	1	15459	16716	15459
Sspo	ENSMUSG00000029797.14	ENSMUST00000169350.9	1	15435	15571	15435
ENSMUSG00000121524	ENSMUSG00000121524.1	ENSMUST00000249149.1	1	15352	15352	15352
Hmcn2	ENSMUSG00000055632.19	ENSMUST00000113532.9	1	15303	15646	15303
Pclo	ENSMUSG00000061601.16	ENSMUST00000030691.17	305	15207	20084	15511
Ryr1	ENSMUSG00000030592.19	ENSMUST00000214374.2	1	15186	15300	15186
Abca13	ENSMUSG00000004668.15	ENSMUST00000042740.13	25	15105	16011	15129
Bltp1	ENSMUSG00000037270.19	ENSMUST00000057272.15	373	15018	15883	15390
4932415D10Rik	ENSMUSG00000044581.9	ENSMUST00000217661.2	53	14961	15111	15013
Fat4	ENSMUSG00000046743.7	ENSMUST00000061260.8	21	14946	16109	14966
Muc6	ENSMUSG00000118661.1	ENSMUST00000239500.1	86	14919	15593	15004
Ryr2	ENSMUSG00000021313.17	ENSMUST00000021750.15	500	14901	16814	15400
Kmt2c	ENSMUSG00000038056.16	ENSMUST00000045291.14	196	14715	14967	14910
Ryr3	ENSMUSG00000057378.16	ENSMUST00000091818.6	1	14667	15410	14667
Birc6	ENSMUSG00000024073.17	ENSMUST00000182597.8	1	14649	14649	14649
Herc1	ENSMUSG00000038664.17	ENSMUST00000042824.13	123	14580	15153	14702
Herc2	ENSMUSG00000030451.17	ENSMUST00000164095.3	120	14511	15261	14630
Muc5b	ENSMUSG00000066108.8	ENSMUST00000165147.3	48	14403	14964	14450
Dnhd1	ENSMUSG00000030882.20	ENSMUST00000145988.9	252	14253	14536	14504
Mycbp2	ENSMUSG00000033004.17	ENSMUST00000159855.8	284	14241	15233	14524
Dnah8	ENSMUSG00000033826.11	ENSMUST00000235390.2	274	14196	14604	14469
Plec	ENSMUSG00000022565.16	ENSMUST00000073418.13	184	14076	15455	14259
Lrp2	ENSMUSG00000027070.15	ENSMUST00000080953.12	173	13983	15460	14155
ENSMUSG00000121556	ENSMUSG00000121556.1	ENSMUST00000249207.1	1	13941	13941	13941
Fat1	ENSMUSG00000070047.15	ENSMUST00000215588.2	1	13938	13938	13938
ENSMUSG00000121557	ENSMUSG00000121557.1	ENSMUST00000249208.1	1	13938	13938	13938
Dync1h1	ENSMUSG00000018707.14	ENSMUST00000018851.14	154	13935	14342	14088
Dnah5	ENSMUSG00000022262.9	ENSMUST00000067048.8	228	13866	15637	14093
Lrp1b	ENSMUSG00000049252.18	ENSMUST00000052550.13	809	13800	16294	14608
Dnah14	ENSMUSG00000047369.18	ENSMUST00000238412.3	1	13791	13791	13791
Dnah10	ENSMUSG00000038011.16	ENSMUST00000058440.12	80	13776	14038	13855
Sacs	ENSMUSG00000048279.20	ENSMUST00000119943.8	1	13749	14991	13749
Muc2	ENSMUSG00000025515.17	ENSMUST00000185406.8	30	13731	13916	13760
Stard9	ENSMUSG00000033705.18	ENSMUST00000180041.9	104	13686	15004	13789
Fat3	ENSMUSG00000074505.7	ENSMUST00000217308.3	283	13668	18760	13950
Lrp1	ENSMUSG00000040249.16	ENSMUST00000049149.15	462	13638	14888	14099
Apob	ENSMUSG00000020609.15	ENSMUST00000037811.13	132	13518	13934	13649
Muc3	ENSMUSG00000037390.14	ENSMUST00000041226.11	70	13500	14091	13569
Dnah11	ENSMUSG00000018581.16	ENSMUST00000084806.7	212	13467	14072	13678
Dnah9	ENSMUSG00000056752.17	ENSMUST00000080665.10	67	13455	13798	13521
Dnah17	ENSMUSG00000033987.17	ENSMUST00000106308.10	1	13446	14973	13446
Dnah2	ENSMUSG00000005237.15	ENSMUST00000108659.2	132	13389	13704	13520
Hectd4	ENSMUSG00000042744.17	ENSMUST00000042614.13	254	13257	15482	13510
Vps13d	ENSMUSG00000020220.17	ENSMUST00000036579.14	162	13173	15849	13334
Unc13b	ENSMUSG00000028456.19	ENSMUST00000207569.2	296	13173	14754	13468
Hspg2	ENSMUSG00000028763.19	ENSMUST00000171332.2	60	13152	14176	13211
Huwe1	ENSMUSG00000025261.19	ENSMUST00000026292.15	409	13137	14579	13545
Tnxb	ENSMUSG00000033327.19	ENSMUST00000238967.2	230	13071	13300	13300
Fat2	ENSMUSG00000055333.15	ENSMUST00000068853.13	116	13056	14528	13171
Dync2h1	ENSMUSG00000047193.17	ENSMUST00000147193.8	1	12942	13103	12942
Pkd1	ENSMUSG00000032855.7	ENSMUST00000035565.5	314	12882	14164	13195
Dnah1	ENSMUSG00000019027.9	ENSMUST00000048603.8	69	12753	12872	12821
Pkhd1l1	ENSMUSG00000038725.14	ENSMUST00000209244.2	1	12750	12949	12750
Dnah6	ENSMUSG00000052861.14	ENSMUST00000064948.13	82	12435	12652	12516
Prkdc	ENSMUSG00000022672.9	ENSMUST00000023352.9	1	12387	12647	12387
Dnah3	ENSMUSG00000052273.5	ENSMUST00000046993.4	1	12252	12252	12252
Dnah7b	ENSMUSG00000041144.13	ENSMUST00000069293.10	1	12207	12318	12207
Pkhd1	ENSMUSG00000043760.17	ENSMUST00000088448.12	237	12180	12935	12416
Dnah7a	ENSMUSG00000096141.3	ENSMUST00000094964.7	70	12075	12245	12144
Dnah7c	ENSMUSG00000101337.7	ENSMUST00000189749.7	22	12075	12207	12096
Fras1	ENSMUSG00000034687.9	ENSMUST00000036019.5	859	12033	15848	12891
Vps13b	ENSMUSG00000037646.11	ENSMUST00000048646.9	647	11982	13757	12628
Muc4	ENSMUSG00000118672.1	ENSMUST00000239554.1	184	11973	12361	12156
Kmt2a	ENSMUSG00000002028.14	ENSMUST00000114689.8	23	11901	16470	11923
Dnah12	ENSMUSG00000021879.14	ENSMUST00000022433.12	58	11883	12009	11940
Bsn	ENSMUSG00000032589.15	ENSMUST00000035208.14	127	11829	15938	11955
Ank2	ENSMUSG00000032826.20	ENSMUST00000182064.9	1	11781	12413	11781
Trrap	ENSMUSG00000045482.17	ENSMUST00000213013.2	1	11580	12398	11580
Lyst	ENSMUSG00000019726.13	ENSMUST00000110559.3	194	11364	13181	11557
Xirp2	ENSMUSG00000027022.15	ENSMUST00000028410.4	246	11355	11955	11600
Akap9	ENSMUSG00000040407.19	ENSMUST00000044492.10	170	11340	13123	11509
Zfp469	ENSMUSG00000043903.5	ENSMUST00000187142.3	194	11298	12777	11491
Vps13c	ENSMUSG00000035284.11	ENSMUST00000077879.7	32	11247	11527	11278
Zfhx3	ENSMUSG00000038872.11	ENSMUST00000220518.2	1453	11172	17152	12624
Alms1	ENSMUSG00000063810.8	ENSMUST00000213058.2	1	11163	11163	11163
ENSMUSG00000121526	ENSMUSG00000121526.1	ENSMUST00000249151.1	1	11160	11160	11160
Lama5	ENSMUSG00000015647.10	ENSMUST00000015791.6	58	11157	11388	11214
Csmd3	ENSMUSG00000022311.16	ENSMUST00000162830.8	160	11124	13012	11283
Dmd	ENSMUSG00000045103.20	ENSMUST00000114000.8	215	11037	14910	11251
Cmya5	ENSMUSG00000047419.6	ENSMUST00000062122.4	219	11031	11850	11249
Smg1	ENSMUSG00000030655.16	ENSMUST00000032891.15	348	10977	15557	11324
Spen	ENSMUSG00000040761.17	ENSMUST00000105786.3	352	10932	12299	11283
Gm884	ENSMUSG00000034239.15	ENSMUST00000059279.13	1	10932	10977	10932
Sptbn5	ENSMUSG00000074899.7	ENSMUST00000156159.4	1	10875	11654	10875
Cubn	ENSMUSG00000026726.11	ENSMUST00000091436.7	1	10872	11262	10872
Mgam	ENSMUSG00000068587.11	ENSMUST00000238599.2	1	10851	10851	10851
Csmd2	ENSMUSG00000028804.21	ENSMUST00000184063.3	27	10836	13555	10862
Zfhx4	ENSMUSG00000025255.19	ENSMUST00000175866.8	449	10821	11287	11269
Usp34	ENSMUSG00000056342.17	ENSMUST00000137823.8	1	10807	11363	10807
Svep1	ENSMUSG00000028369.16	ENSMUST00000042850.9	221	10704	11629	10924
Csmd1	ENSMUSG00000060924.16	ENSMUST00000082104.7	308	10695	14182	11002
Wdfy3	ENSMUSG00000043940.16	ENSMUST00000174598.8	1	10581	10581	10581
Myo15a	ENSMUSG00000042678.18	ENSMUST00000071880.9	290	10536	11769	10825
